 Trung tâm Truyền thông Giáo dục sức khỏe Trung ương (bộ Y tế), t5g.org.vn
 Trung tâm Văn hóa Doanh nhân, vhdn.vn
 Viện Hỗ trợ pháp lý và Bảo vệ môi trường, phapluatvamoitruongvn.vn
 Viện Kiểm nghiệm an toàn vệ sinh thực phẩm quốc gia, nifc.gov.vn
 Viện Môi trường và Năng lượng tái tạo,  sugiamoitruong.com.vn
 Viện Nghiên cứu các vấn đề xã hội, duluanxahoi.com.vn
" Viện Nghiên cứu Thanh tra và Phòng, chống tham nhũng;", phongchongthamnhung.com.vn
 Viện Phát triển chăm sóc sức khỏe cộng đồng, suckhoevacuocsong.com.vn
Ủy ban Đoàn kết Công giáo Việt Nam, ubdkcgvn.org.vn 
Ủy ban Giám sát tài chính Quốc gia,"  nfsc.gov.vn,  uybangiamsattaichinhquocgia.gov.vn"
Ủy ban Trung ương Mặt trận Tổ quốc Việt Nam,"  mattran.org.vn ,�  mattran.vn"
Đài Khí tượng Thủy văn khu vực đồng bằng Bắc Bộ,"  daikttvdongbang.gov.vn ,�  daikttvdongbang.com.vn"
Đài Phát thanh - Truyền hình Đồng Nai ,  dnrtv.org.vn   
Đài Phát thanh - Truyền hình An Giang , atv.org.vn   
Đài Phát thanh - Truyền hình Cao Bằng, caobangtv.vn 
Đài Phát thanh - Truyền hình Gia Lai,  gialaitv.vn
Đài Phát thanh - Truyền hình Khánh Hòa, ktv.org.vn
Đài Phát thanh - Truyền hình Phú Yên,ptpphuyen.vn
Đài Phát thanh - Truyền hình Quảng Nam," qrt.vn ,�  qrt.com.vn "
Đài Phát thanh - Truyền hình Sóc Trăng," thst.vn ,�  soctrangtv.vn    "
Đài Phát thanh và Truyền hình Đồng Tháp , thdt.vn
Đài Phát thanh và Truyền hình Đắk Lắk,drt.vn 
Đài Phát thanh và Truyền hình Đắk Nông," ptthdaknong.com.vn,  truyenhinhdaknong.vn"
Đài Phát thanh và Truyền hình Điện Biên, dienbientv.vn
Đài Phát thanh và Truyền hình Bà Rịa – Vũng Tàu,"  brt.vn,  brt.com.vn ,�  brt.org.vn"
Đài Phát thanh và Truyền hình Bình Dương,"  btv.vn,  btv.com.vn,  btv.org.vn
 
               "
Đài Phát thanh và Truyền hình Bắc Kạn, backantv.vn
Đài Phát thanh và Truyền hình Hà Giang , hagiangtv.vn
Đài Phát thanh và Truyền hình Hà Nội, hanoitv.vn 
Đài Phát thanh và Truyền hình Hà Nam," hanamtv.vn ,�  hanamtv.org.vn "
Đài Phát thanh và Truyền hình Hà Tĩnh ," hatinhtv.vn ,�  hatinhtv.com.vn "
Đài Phát thanh và Truyền hình Hải Phòng, thhp.vn 
Đài Phát thanh và Truyền hình Kon Tum ,"  kontumtv.vn ,�  krt.com.vn"
Đài Phát thanh và Truyền hình Lào Cai ,  laocaitv.vn
Đài Phát thanh và Truyền hình Lạng Sơn," langsontv.vn,                        ứng dụng LSTV phân phối trên App Store ,� CH Play"
Đài Phát thanh và truyền hình Long An," truyenhinhlongan.com.vn ,  la34.com.vn"
Đài Phát thanh và Truyền hình Nghệ An , truyenhinhnghean.vn
Đài Phát thanh và Truyền hình Ninh Bình," nbtv.vn
"
Đài Phát thanh và Truyền hình Quảng Ninh," qtv.vn, qtv.com.vn, quangninhtv.vn, quangninhtv.com.vn"
Đài Phát thanh và Truyền hình Tây Ninh,"ttv11.com.vn ,� ttv11.vn"
Đài Phát thanh và Truyền hình tỉnh Bắc Giang, bacgiangtv.vn
Đài Phát thanh và Truyền hình Thái Bình ,thaibinhtv.vn 
Đài Phát thanh và Truyền hình Thanh Hóa , truyenhinhthanhhoa.vn
Đài Phát thanh và Truyền hình Tiền Giang," - Tên miền: 
  thtg.vn ,�  thtg.com.vn
- Ứng dụng THTG phân phối trên Google Play.

"
Đài Phát thanh và Truyền hình Vĩnh Phúc ,  vinhphuctv.vn 
Đài Phát thanh và Truyền hình Yên Bái, yenbaitv.org.vn
Đài PTTH Đà Nẵng, danangtv.vn
Đài PTTH Bắc Ninh, bacninhtv.vn
Đài PTTH Hòa Bình, hoabinhtv.vn
Đài PTTH Hưng yên,  hungyentv.vn
Đài PTTH Hải Dương," haiduongtv.vn,  haiduongtv.com.vn,                      haiduongtv.com"
Đài PTTH Hậu Giang, haugiangtivi.vn
Đài PTTH Kiên Giang," kgtv.vn,  kgtv.com.vn"
Đài PTTH Thái Nguyên, thainguyentv.vn
Đài PTTH Thừa Thiên - Huế," trt.com.vn,  trt.vn"
Đài PTTH Vĩnh Long, thvl.vn
Đài Tiếng nói nhân dân thành phố Hồ Chí Minh," voh.com.vn
   
"
Đài Truyền hình Kỹ thuật số VTC, vtc.gov.vn 
Đài Truyền hình Thành phố Hồ Chí Minh, htv.com.vn 
Đề án biên soạn Bách khoa toàn thư Việt Nam,  deanbktt.vn 
Đoàn TNCS Hồ Chí Minh Văn phòng Trung ương Đảng ,  doanvptw.dcs.vn
Báo Đà Nẵng, baodanang.vn
Báo Đồng Tháp," baodongthap.vn,   baodongthap.com.vn"
Báo Đời sống và Tiêu dùng," doisongtieudung.vn,  dantin.vn "
Báo Đắk Nông," baodaknong.org.vn,  baodaknong.vn"
Báo Điện tử Đảng Cộng sản VN, hochiminh.vn
Báo ảnh Việt Nam , dep.com.vn
Báo Bà Rịa - Vũng      Tàu, baobariavungtau.com.vn 
Báo Công an thành phố Đà Nẵng, cadn.com.vn
Báo Cựu chiến binh Việt Nam , cuuchienbinh.vn 
Báo Cần Thơ, baocantho.com.vn
Báo Dân tộc và Phát triển,"ttps://tintucdantoc.vn ,�  tintucdantoc.com.vn"
Báo Giác ngộ,  giacngo.vn
Báo Giáo dục thành phố Hồ Chí Minh,  mevacon.com.vn
Báo Giáo dục thành phố Hồ Chí Minh,  giaoduc.edu.vn
Báo Giáo dục TP. HCM,  vtmonline.vn
Báo Hưng Yên ," baohungyen.vn ,�  baohungyen.org.vn "
Báo Hải Dương," baohaiduong.vn,  haiduongnews.com"
Báo Khánh Hòa, baokhanhhoa.com.vn
Báo Khăn Quàng đỏ, muctim.com.vn
Báo Khoa học và Đời sống,"khoahocdoisong.vn ,� khoahocdoisong.com.vn"
Báo Lao động Nghệ An,laodongnghean.vn 
Báo Người Hà Nội, nguoihanoi.com.vn 
Báo Ninh Bình, baoninhbinh.org.vn 
Báo Phụ nữ Việt Nam, pnvnnuocngoai.vn
Báo Phú Yên, baophuyen.com.vn
Báo Quân đội nhân dân ,"   quyvibiendaovietnam.vn,    vibiendaovietnam.vn"
Báo Quân khu 2," quankhu2.vn,  quankhu2.com.vn
                      qk2.com.vn,  qk2.vn 
"
Báo Quốc phòng Thủ Đô ," quocphongthudo.vn,  quocphongthudo.com.vn,
                      qptd.com.vn,  qptd.vn
"
Báo Sinh viên Việt Nam, camnangteen.vn                    
Báo Thể thao thành phố Hồ Chí Minh  , thethaohcm.vn
Báo Thanh Tra, thanhtra.com.vn
Báo Tiếng Nói Việt Nam , baotnvn.vn 
Báo Tin Tức, baotintuc.vn
Báo Vĩnh Long," baovinhlong.vn,  baovinhlong.com.vn"
Báo Vĩnh Phúc, baovinhphuc.com.vn
Báo Văn nghệ Thái Nguyên, vannghethainguyen.vn
Bệnh viện Da liễu Trung ương," dalieu.vn  
"
Bệnh viện K, benhvienk.vn
Bộ Tư lệnh Bộ đội Biên phòng ,"bienphongvietnam.vn
                      bienphongvietnam.gov.vn 
                      bienphongvietnam.com.vn
"
"Bộ Văn hóa, thể thao và du lịch"," bvhttdl.gov.vn,  mocst.gov.vn"
Ban Điều hành Đề án đưa nội dung quyền con người vào chương trình giáo dục trong hệ thống giáo dục quốc dân, qcn.ciks.vn
Ban Biên tập tin Kinh tế (Thông tấn xã Việt Nam),  bnews.vn
Ban Biên tập tin Kinh tế (TTXVN), eco.vnanet.vn
Ban chỉ đạo công tác thông tin đối ngoại,"   ttdn.vn ,�   thongtindoingoai.org.vn"
Ban Chỉ đạo thực hiện Đề án áp dụng Mô hình thông tin công trình (BIM) trong hoạt động xây dựng và quản lý vận hành công trình,bim.gov.vn 
Ban Nội chính Trung ương,"  noichinh.vn ,�  noichinh.org.vn"
"Ban Quản lý Dự án “Tuyên truyền, vận động nông dân áp dụng canh tác lúa thân thiện với môi trường tại Việt Nam”; ", canhtacxanh.vn
Ban quản lý Lăng Chủ tịch Hồ Chí Minh," bqllang.gov.vn ,�  hcmm.gov.vn "
Ban Tôn giáo Chính phủ ," btgcp.gov.vn,  religion.vn"
Ban Thông tin truyền thông Trung ương (Giáo hội Phật giáo Việt Nam) ,  phatsuonlinetv.com.vn
Ban truyền hình đối ngoại (VTV4) - Đài Truyền hình VN, vtv4.vn
Ban truyền hình tiếng dân tộc (VTV5 - Đài THVN), vtv5.net.vn
Bảo hiểm xã hội Việt Nam,"baohiemxahoi.gov.vn ,� vss.gov.vn"
Bảo tàng Lịch sử Quốc gia ,"  baotanglichsuquocgia.vn
  baotanglichsu.vn 
  vnmh.com.vn
"
Công đoàn Điện lực Việt Nam,  congdoandlvn.org.vn
Công đoàn Bưu chính Viễn thông Việt Nam,congdoan.vnpt.vn 
Công đoàn Cao su Việt Nam, congdoancaosu.vn 
Công đoàn Dệt May Việt Nam,congdoandetmay.vn 
Công đoàn Tổng công ty Hàng hải Việt Nam, cdhanghaivn.org.vn
Công đoàn Than – Khoáng sản Việt Nam , congdoantkv.vn 
Công ty cổ phần Tổng Công ty Truyền hình Cáp Việt Nam (VTVcab),  vtvcab.vn
Công ty TNHH MTV Nhà xuất bản Giáo dục Việt Nam (Nhà xuất bản Giáo dục Việt Nam) ,"  nxbgd.vn,  veph.vn,  veph.com.vn"
Cục An toàn thông tin, ais.gov.vn 
Cục An toàn thực phẩm,  vfa.gov.vn
Cục Báo chí, cucbaochi.gov.vn 
Cục Công nghiệp, via.gov.vn
Cục Nghệ thuật biểu diễn,  cucnghethuatbieudien.gov.vn
"Cục Phát thanh, truyền hình và thông tin điện tử"," abei.vn,  abei.gov.vn"
"Cục Phát thanh, truyền hình và thông tin điện tử",  tingia.gov.vn 
Cục Quản lý Dược,  dav.gov.vn  
Cục Quản lý môi trường y tế, vihema.gov.vn 
Cục Tần số vô tuyến điện," rfd.gov.vn,  arfm.gov.vn,     cuctanso.vn"
Cục thông tin đối ngoại,"asean.vietnam.vn, aseanvietnam.vn, vietnamasean.vn  "
Cục Thông tin đối ngoại (Bộ TTTT)," vietnam.vn,  thongtindoingoai.vn"
Cục Thương mại điện tử và Công nghệ thông tin (Bộ Công Thương), tuhaoviet.vn 
Cục Thương mại điện tử và Kinh tế số, idea.gov.vn 
Cục Trẻ em, treem.go.vn
Cục Truyền thông Công an nhân dân,  cuctruyenthongcand.vn
Cục Viễn thám quốc gia,"   rsc.gov.vn ,�   nrsd.gov.vn"
Cục Viễn thông, vnta.gov.vn 
Cục Việc làm," vieclamvietnam.gov.vn 
                       vieclamvietnam.vn
                       vieclamvietnam.com.vn 
"
Cục Y tế dự phòng, suckhoetoandan.vn 
Cơ quan điều tra – Viện kiểm sát nhân dân tối cao, coquandieutravkstc.gov.vn 
Cơ quan Thường trực Ban chỉ đạo Quốc gia khắc phục hậu quả bom mìn và chất độc hóa học sau chiến tranh ở Việt Nam (Văn phòng 701) ,office701.gov.vn 
Hệ Phát thanh dân tộc (Đài TNVN), vov4.vn
Hội đồng Lý luận Trung ương,   hdll.vn   
Hội đồng xổ số kiến thiết khu vực miền Nam, xsktmiennam.vn 
Hội Điện lực miền Nam,seea.vn 
Hội An toàn giao thông VN,  giaothong24h.vn
Hội Bảo vệ quyền trẻ em Việt Nam, treemviet.vn
Hội Bảo vệ Thiên nhiên và Môi trường Việt Nam ,moitruong24h.vn 
Hội chăn nuôi Việt Nam, hoichannuoi.vn
Hội Doanh nhân trẻ Việt Nam, doanhnhantrevn.vn
Hội Hữu nghị Việt Nam – Liên bang Nga, hoihuunghivietnga.vn 
Hội Kỷ lục gia Việt Nam,  kyluc.vn
Hội Kiểm toán viên hành nghề Việt Nam (VACPA),  vacpa.org.vn 
Hội Kinh tế Môi trường Việt Nam ,  kinhtexanh.vn
Hội Luật gia Việt Nam, hoiluatgiavn.org.vn
Hội Nữ trí thức Việt Nam,  hointtvn.vn
Hội Nam y Việt Nam,  namyvasuckhoe.vn
Hội Người cao tuổi Việt Nam,  hoinguoicaotuoi.vn                  
Hội Nghệ sĩ Sân khấu Việt Nam, sankhau.com.vn 
Hội Nhà báo Việt Nam," hoinhabaovietnam.vn
 nhabaovagiamsatxahoi.vn"
Hội Nhà văn Việt Nam," vanvn.net
                       hoinhavanvietnam.vn
                       hoinhavanvietnam.com.vn
"
Hội Y học Dự phòng Việt Nam," yhocduphong.com ,  hoiyhocduphong.vn  "
"Hiệp hội Các cơ sở tiểu thủ công nghiệp, thương mại dịch vụ Việt Nam", vicca.vn
Hiệp hội Các tổ chức dịch vụ phát triển kinh doanh Việt Nam, doisongkinhdoanh.vn
Hiệp hội Cao su Việt Nam, vra.com.vn 
Hiệp hội Chế biến và Xuất khẩu Thủy sản Việt Nam,  vasep.com.vn
Hiệp hội Doanh nghiệp nhỏ và vừa khu vực phía Nam, biztoday.vn  
Hiệp hội Nước mắm Việt Nam,  hiephoinuocmamvietnam.org.vn
Hiệp hội Ngân hàng Việt Nam, vnba.org.vn
Hiệp hội Những người lao động sáng tạo Việt Nam, sangtaovietnam.vn  
Hiệp hội Nuôi biển Việt Nam,hiephoivsa.com.vn
Hiệp hội Phát triển Chợ Việt Nam, hiephoicho.vn 
Hiệp hội quyền sao chép Việt Nam, phapluatvatacquyen.vn
Kênh Sức khỏe và An toàn thực phẩm (VOV Sức khỏe FM 89), vovfm89.vn
Kênh truyền hình Quốc Hội Việt Nam, quochoitv.vn
Kênh truyền hình Văn hóa - Du lịch (VOV), truyenhinhdulich.vn
"Kênh Văn hóa, Xã hội và Giải trí (VTC 9)",  kenhvtc9.vn
Kênh VOV Giao thông Quốc gia, fmcamxuc.vn
Kênh VOV Giao thông quốc gia,vovgiaothong.vn
Kho bạc Nhà nước,"vst.mof.gov.vn
                      kbnn.botaichinh.gov.vn "
Liên đoàn Bóng đá Việt Nam, vff.org.vn
Liên chi hội nhà báo Thông tin và Truyền thông, ictpress.vn
Liên hiệp các Hội Khoa học và Kỹ thuật Việt Nam,  vusta.vn
Liên minh Hợp tác xã VN, vca.org.vn 
Ngân hàng Hợp tác xã Việt Nam,  co-opbank.vn  
Ngân hàng Nhà nước Việt Nam,  taichinhtoandien.gov.vn
Nhà Xuất bản Công thương,"nhaxuatbancongthuong.com.vn
                      nhaxuatbancongthuong.gov.vn
"
Nhà xuất bản Xây dựng, xaydungtoday.vn
Phòng Thương mại và Công nghiệp Việt Nam (VCCI), vcci.com.vn
Quỹ Bảo trợ trẻ em Việt Nam,  nfvc.org.vn 
Quỹ Chống hàng giả, chonghanggiavn.net.vn
Quỹ Chống hàng giả,"  acf.org.vn ,�  quychonghanggia.vn "
Quỹ Hỗ trợ sáng tạo văn học nghệ thuật Việt Nam, vifolac.vn 
Sở Thông tin và Truyền thông Đắk Nông,  stttt.daknong.gov.vn
Sở Thông tin và Truyền thông Điện Biên, dic.gov.vn  
Sở Thông tin và Truyền thông Bình Định,  binhdinh.gov.vn 
Sở Thông tin và Truyền thông Bạc Liêu, baclieu.gov.vn  
Sở Thông tin và Truyền thông Bắc Giang,  doingoai.bacgiang.gov.vn
Sở Thông tin và Truyền thông Gia Lai, stttt.gialai.gov.vn
Sở Thông tin và Truyền thông Hòa Bình, sothongtin.hoabinh.gov.vn 
Sở Thông tin và Truyền thông Hưng Yên, doingoaihungyen.vn 
Sở Thông tin và Truyền thông Hưng Yên, sotttt.hungyen.gov.vn 
Sở Thông tin và Truyền thông Hải Phòng,"e-haiphong.gov.vn ,� thanhphohaiphong.gov.vn "
Sở Thông tin và Truyền thông Kiên Giang," kiengiang.gov.vn
                       en.kiengiang.gov.vn  "
Sở Thông tin và Truyền thông Kiên Giang,  stttt.kiengiang.gov.vn
Sở Thông tin và Truyền thông Lào Cai, doingoailaocai.vn
Sở Thông tin và Truyền thông Lai Châu, thongtindoingoai.laichau.gov.vn 
Sở Thông tin và Truyền thông Lai Châu,  thongtindoingoai.laichau.gov.vn
Sở Thông tin và Truyền thông Lạng Sơn, langson.gov.vn
Sở Thông tin và Truyền thông Nam Định,  namdinh.gov.vn
Sở Thông tin và Truyền thông Nam Định, sotttt.namdinh.gov.vn 
Sở Thông tin và Truyền thông Ninh Bình,   tttt.ninhbinh.gov.vn
Sở Thông tin và Truyền thông Phú Yên,
Sở Thông tin và Truyền thông Quảng Bình, stttt.quangbinh.gov.vn 
Sở Thông tin và Truyền thông Quảng Bình,  stttt.quangbinh.gov.vn
Sở Thông tin và Truyền thông Quảng Ninh," quangninh.gov.vn,   halong.gov.vn"
Sở Thông tin và Truyền thông Quảng Trị,  thongtindoingoai.quangtri.gov.vn
Sở Thông tin và Truyền thông Quảng Trị, khoinghiep.quangtri.gov.vn
Sở Thông tin và Truyền thông Tây Ninh,tayninh.gov.vn 
Sở Thông tin và Truyền thông tỉnh Vĩnh Phúc,  vinhphuc.gov.vn
Sở Thông tin và Truyền thông thành phố Đà Nẵng, tttt.danang.gov.vn
Sở Thông tin và Truyền thông thành phố Hà Nội,thudoxanhsachdep.hanoi.gov.vn  
Sở Thông tin và Truyền thông thành phố Hồ Chí Minh,ict-hcm.gov.vn
Sở Thông tin và Truyền thông Tuyên Quang," tuyenquang.gov.vn 
 english.tuyenquang.gov.vn , vtv.vn , chinhphu.vn , vtc.vn
"
Sở Thông tin và Truyền thông Vĩnh Long,  thongtintuyentruyen.vinhlong.gov.vn
Sở Thông tin và Truyền thông Vĩnh Phúc, sotttt.vinhphuc.gov.vn
Sở TTTT Bắc Kạn, ict.backan.gov.vn
Sở TTTT Khánh Hòa ," stttt.khanhhoa.gov.vn,  ict-khanhhoa.vn"
Sở TTTT Ninh Bình, tttt.ninhbinh.gov.vn
Sở TTTT Phú Thọ, stttt.phutho.gov.vn   
Sở TTTT Vĩnh Long,  stttt.vinhlong.gov.vn
Tổng Công ty hàng không Việt Nam – CTCP (Vietnam Airlines)," - Tên miền: 
  spirit.vietnamairlines.com ,�  spirit.vietnamairlines.com.vn
                     
"
Tổng Công ty Truyền hình Cáp Việt Nam – VTVcab ," onsports.vn
Trên Apple App Store ,� Google Play Store"
Tổng Công ty Truyền hình Cáp Việt Nam – VTVcab ,"on11.vn
Trên Apple App Store ,� Google Play Store"
Tổng cục Biển và Hải đảo Việt Nam, vasi.gov.vn  
Tổng cục Năng lượng, tcnl.gov.vn 
Tạp chí  Đời sống và Pháp luật,"   doisongphapluat.com ,�   doisongphapluat.com.vn"
Tạp chí Ô tô Xe máy VN, otoxemay.vn
Tạp chí Đông Nam Á , seatimes.com.vn
Tạp chí Đồ uống Việt Nam ,tapchidouong.com.vn
Tạp chí Điện ảnh Việt Nam,dienanhvietnam.com.vn 
Tạp chí Điện tử,dientungaynay.vn
Tạp chí Điện và Đời sống, dienvadoisong.com
Tạp chí Ánh sáng và Cuộc sống ,"  anhsangvacuocsong.vn
  anhsangvacuocsong.com.vn
  anhsangonline.vn 
"
Tạp chí Công an nhân dân," tapchicongannhandan.vn
                       anninhvaxahoi.com.vn
                       anninhvaxahoi.vn  
"
Tạp chí Công nghệ Ngân hàng,tapchicnnh.buh.edu.vn
Tạp chí Công nghiệp tàu thủy Việt Nam, congnghieptauthuyvietnam.vn
Tạp chí Công Nghiệp và Tiêu dùng, congnghieptieudung.vn
Tạp chí Cửa Việt , tapchicuaviet.com.vn
Tạp chí Cao su Việt Nam, tapchicaosu.vn
Tạp chí Cảnh sát phòng chống tội phạm," tapchicanhsat.com.vn
                      phongchongmatuy.com.vn
"
Tạp chí Chứng khoán,"  tapchichungkhoanvietnam.vn
  chungkhoanvietnam.net.vn
"
Tạp chí Dân vận, danvan.vn
Tạp chí Doanh nghiệp và Hội nhập, doanhnghiepnet.com.vn
Tạp chí Doanh nghiệp và Thương hiệu ,  doanhnghiepthuonghieu.vn
Tạp chí Doanh nghiệp và Thương mại ,  dntm.vn 
Tạp chí Giáo dục, tapchigiaoduc.moet.edu.vn 
Tạp chí Giáo dục Thủ đô, giaoducthudo.com.vn
Tạp chí Hàn Quốc," tapchihanquoc.vn,  tapchihanquoc.com,  news.vlive.tv"
Tạp chí Hàng hóa và Thương hiệu, hhth.vn
Tạp chí Khám phá,"sihub.vn ,� doimoisangtao.vn "
Tạp chí Khám phá,"khoinghiepsangtao.vn ,� thehub.vn "
Tạp chí Khoa học Đại học Mở TPHCM,  journalofscience.ou.edu.vn
Tạp chí Khoa học Kỹ thuật Chăn nuôi, nhachannuoi.vn 
Tạp chí Khoa học và Công nghệ Năng lượng,energyscience.com.vn 
Tạp chí Khoa học và Công nghệ Việt Nam, khoahocvacongnghevietnam.com.vn 
Tạp chí Khu công nghiệp Việt Nam, khucongnghiep.com.vn
Tạp chí Kiểm soát, kiemsat.vn
Tạp chí Kiểm tra, ubkttw.vn
Tạp chí Kiến trúc , nhadep-magazine.com.vn 
Tạp chí Kinh doanh và Tiếp thị , kinhdoanhvatiepthi.vn
Tạp chí Kinh tế, kinhteonline.vn
Tạp chí Kinh tế Công nghiệp Long An, ktegdxh.net
Tạp chí Kinh tế Môi trường,  kinhtemoitruong.vn
Tạp chí Kinh tế Tập đoàn , kinhtetapdoan.vn
Tạp chí Lý luận chính trị,  lyluanchinhtri.vn 
Tạp chí Môi trường ,  tapchimoitruong.vn
Tạp chí Môi trường Đô thị Việt Nam ,"  phapluatmoitruong.vn 
  tintucmoitruong.vn
  tinnhanhmoitruong.vn 
"
Tạp chí Môi trường và Xã hội ,moitruongvaxahoi.vn
Tạp chí Mẹ và Bé, mevabe.vn
Tạp chí Nông nghiệp và Phát triển nông thôn, tapchikhoahocnongnghiep.vn
Tạp chí Năng lượng Việt Nam,"nangluongvietnam.vn
                      vietnamenergy.vn       

"
Tạp chí Ngân hàng ," tapchinganhang.com.vn
                       tapchinganhang.gov.vn
"
Tạp chí Nghệ thuật biểu diễn, tapchinghethuatbieudien.vn
Tạp chí Nghe nhìn Kinh tế Việt Nam , nghenhinvietnam.vn
Tạp chí Nghiên cứu Ấn Độ và Châu Á , vjias.vn
Tạp chí Nghiên cứu Châu Phi và Trung Đông , amesj.vn
Tạp chí Nghiên cứu Kinh tế , vsed.vn
Tạp chí Nghiên cứu lập pháp ,"  nclp.org.vn,  nghiencuulapphap.vn,  lapphap.vn,  nghiencuulapphap.com.vn,  nghiencuulapphap.com,  lapphap.com,  lapphap.com.vn."
Tạp chí Nghiên cứu và Thực hành nhi khoa, jprp.vn
Tạp chí Nha Trang,tapchinhatrang.com.vn 
Tạp chí Nhân đạo, nhandaoonline.vn
Tạp chí Nhịp cầu Đầu tư, nhipcaudautu.vn 
Tạp chí Pháp luật và Phát triển, phapluatvaphattrien.vn 
Tạp chí Quê Hương," traihevietnam.vn ,  vietnamsummercamp.vn "
Tạp chí Quê Hương,  quehuongonline.vn 
Tạp chí Quê Hương, quehuongonline.vn
Tạp chí Rừng và Môi trường," moitruongvadoisong.vn
                      baovemoitruong.org.vn
"
Tạp chí Tài chính doanh nghiệp ," tcdn.vn ,  Fbussiness.vn"
Tạp chí Tài chính doanh nghiệp ,"  tcdn.vn ,�  taichinhngaynay.vn"
Tạp chí Thông tin và Phát triển ,"  thongtinvaphattrien.vn ,�  thongtinphattrien.com.vn"
Tạp chí Thị trường Giá cả, thitruonggiacabds.vn
Tạp chí Thủy sản Việt Nam," nguoichannuoi.vn 
                       nguoichannuoi.com 
                       nguoichannuoi.com.vn
"
Tạp chí Thủy sản Việt Nam , thuysanvietnam.com.vn
Tạp chí Thời trang trẻ," tapchithoitrangtre.vn
                      tapchithoitrangtre.com.vn
"
Tạp chí Thể thao và Cuộc sống ,thethaocuocsong.vn 
Tạp chí Thế giới Ảnh,"thegioianh.vn ,� tiemnangviet.vn "
Tạp chí Thế giới Gia cầm, tapchigiacam.vn
Tạp chí Thế giới Gia cầm, nguoichannuoi.com.vn
Tạp chí Thi đua Khen thưởng,thiduakhenthuongvn.org.vn 
Tạp chí Thuế Nhà nước,"  thuenhanuoc.vn ,�  tapchithue.com.vn"
Tạp chí Tiếp thị và Gia đình,  tiepthigiadinh.vn
Tạp chí Tin học và Đời sống,   congnghevadoisong.vn 
Tạp chí Truyền thống và Phát triển , doithoaiphattrien.vn
Tạp chí Văn hóa doanh nghiệp Việt Nam ,vanhoadoanhnghiepvn.vn 
Tạp chí Văn hiến Việt Nam,vanhienplus.vn 
Tạp chí Văn nghệ Xứ Thanh ,tapchixuthanh.vn 
Tạp chí Việt - Mỹ,vietmy.net.vn
Tạp chí Việt Nam Hội nhập,vietnamhoinhap.vn
Tạp chí Việt Nam Logistics Review , vlr.vn
Tạp chí Vietnam Business Forum , vccinews.vn 
Tạp chí Xây dựng,tapchixaydungbxd.vn 
Tạp chí Xây dựng Đảng," bualiemvang.org.vn
                       bualiemvang.vn 
"
Tạp chí Y Dược học ,  tapchiyduochocvietnam.com.vn
Tập đoàn Bưu chính Viễn thông Việt Nam,"  vnpt.vn ,�  vnpt.com.vn"
Tập đoàn Công nghiệp Than – Khoáng sản Việt Nam, vinacomin.vn
